name,team,level,class_last,reliability,player_id,canonical_id,season,last_season,last_n,proj_woba,proj_woba_p10,proj_woba_p90,periph_adj,proj_k_pct,proj_bb_pct,proj_iso,proj_babip,proj_hr_pa,proj_avg,proj_obp
Keegan Agen,Shoreline,JUCO,So,0.453,1118,1118,2027,2026,154,0.3287,0.2591,0.3984,-0.0,0.1798,0.0998,0.1003,0.3215,0.008,0.2655,0.3538
A Yazawa,SW Oregon,JUCO,,0.447,52,52,2027,2025,188,0.3284,0.2587,0.3981,0.0,0.141,0.1119,0.0821,0.3174,0.0064,0.2698,0.3573
Brooks Avery,Portland,D1,So,0.482,3589,3589,2027,2026,53,0.3283,0.2589,0.3976,0.0,0.2138,0.125,0.1066,0.3233,0.0178,0.2585,0.3544
Easton Espinoza,EOU,NAIA,Sr,0.565,2759,2759,2027,2026,75,0.3283,0.2598,0.3967,0.0003,0.1787,0.1023,0.1163,0.3222,0.0138,0.2558,0.354
Castle Keaton,Spokane,JUCO,So,0.536,1179,1179,2027,2026,215,0.3282,0.2594,0.3969,0.0003,0.1434,0.1068,0.0717,0.3177,0.0074,0.2716,0.3654
Slater Tsuma,Chemeketa,JUCO,So,0.59,762,762,2027,2026,189,0.3282,0.26,0.3964,0.0001,0.1795,0.1032,0.0746,0.3199,0.007,0.2607,0.365
DJ Ringenbach,Clark,JUCO,Fr,0.333,806,806,2027,2026,93,0.3282,0.2573,0.3991,-0.001,0.1859,0.1125,0.0743,0.3249,0.0062,0.2639,0.3605
Caleb Eisenhower,Columbia Basin,JUCO,Fr,0.392,4294,4294,2027,2025,102,0.328,0.2577,0.3982,0.0,0.1607,0.1173,0.0955,0.3131,0.006,0.2608,0.3572
Camden Johnson,Linn-Benton,JUCO,So,0.327,1000,1000,2027,2026,55,0.328,0.2571,0.399,0.0002,0.2095,0.1393,0.089,0.3059,0.006,0.2341,0.3688
Chase Olsen,Centralia,JUCO,Fr,0.211,4223,4223,2027,2025,62,0.3279,0.2557,0.4,0.0,0.197,0.1226,0.0926,0.3125,0.009,0.2497,0.3578
Gavin Poffenroth,Skagit,JUCO,So,0.677,82,82,2027,2026,142,0.3278,0.2605,0.3951,-0.0003,0.1735,0.1075,0.1028,0.3056,0.0082,0.2498,0.3401
C DeSilva,SW Oregon,JUCO,,0.44,45,45,2027,2025,183,0.3278,0.258,0.3975,0.0,0.1333,0.0966,0.0567,0.3208,0.0045,0.2718,0.3662
Brandon McKinley,Bellevue,JUCO,Fr,0.642,4171,4171,2027,2025,210,0.3277,0.2601,0.3954,0.0,0.1312,0.1168,0.1008,0.2986,0.0106,0.2588,0.3661
Fran Gross,Corban,NAIA,Sr,0.473,3893,3893,2027,2025,118,0.3277,0.2583,0.3971,0.0,0.2053,0.1076,0.1257,0.3241,0.0173,0.2568,0.3502
Jarrod Seibel,Warner Pacific,NAIA,Sr,0.62,2954,2954,2027,2026,135,0.3276,0.2597,0.3955,-0.0018,0.2573,0.1086,0.114,0.3292,0.0193,0.2507,0.3567
Isaiah Anzaldua,Centralia,JUCO,Fr,0.428,104,104,2027,2025,174,0.3276,0.2577,0.3975,0.0,0.1194,0.1187,0.0809,0.3066,0.0059,0.2593,0.3617
James Lawrence,Columbia Basin,JUCO,So,0.419,4290,4290,2027,2025,168,0.3275,0.2575,0.3975,0.0,0.224,0.1224,0.1031,0.3165,0.0077,0.2472,0.3595
Ricardo Leon Guerrero II,Big Bend,JUCO,So,0.655,84,84,2027,2026,194,0.3274,0.2599,0.3949,-0.0003,0.1367,0.0903,0.1001,0.3077,0.0122,0.27,0.3509
